"variable","in_raking","collapse_version","label","n_sample","pct_sample","pct_target","pct_raked"
"sex",TRUE,"原始","男性",4236,48.39,50.66,50.66
"sex",TRUE,"原始","女性",4518,51.61,49.34,49.34
"age",TRUE,"A2","20至29歲",1898,21.68,14.16,14.16
"age",TRUE,"A2","30至39歲",2724,31.12,16.65,16.65
"age",TRUE,"A2","40至49歲",2656,30.34,20.8,20.8
"age",TRUE,"A2","50至59歲",869,9.93,18.4,18.4
"age",TRUE,"A2","60歲及以上",607,6.93,29.99,29.99
"edu",TRUE,"C","高中職及以下",1086,12.41,45.5,45.5
"edu",TRUE,"C","專科及以上",7668,87.59,54.5,54.5
"arear",TRUE,"A","北北基宜蘭區",3556,40.62,32.28,32.28
"arear",TRUE,"A","桃竹苗區",1373,15.68,16.67,16.67
"arear",TRUE,"A","中彰投區",1559,17.81,18.85,18.85
"arear",TRUE,"A","雲嘉南區",988,11.29,14.37,14.37
"arear",TRUE,"A","高屏區",1168,13.34,15.4,15.4
"arear",TRUE,"A","花東區",110,1.26,2.43,2.43
"ethnicity",FALSE,"4class","本省客家人",810,10.36,10.25,11.07
"ethnicity",FALSE,"4class","本省閩南人",6368,81.42,78.57,79.38
"ethnicity",FALSE,"4class","大陸各省市",558,7.13,9.2,8.29
"ethnicity",FALSE,"4class","其他",85,1.09,1.98,1.26
"party_kmt",TRUE,"C","0-4 冷淡",5345,61.06,42.94,42.94
"party_kmt",TRUE,"C","5 中間",1860,21.25,30.8,30.8
"party_kmt",TRUE,"C","6-10 溫暖",1549,17.69,26.26,26.26
"party_dpp",TRUE,"C","0-4 冷淡",4720,53.92,40.07,40.07
"party_dpp",TRUE,"C","5 中間",1768,20.2,25.87,25.87
"party_dpp",TRUE,"C","6-10 溫暖",2266,25.89,34.07,34.07
"party_tpp",TRUE,"C","0-4 冷淡",4323,49.38,50.74,50.74
"party_tpp",TRUE,"C","5 中間",2057,23.5,29.77,29.77
"party_tpp",TRUE,"C","6-10 溫暖",2374,27.12,19.49,19.49
